Lebanon	Beirut
Lesotho	Maseru
Liberia	Monrovia
Libya	Tripoli
Liechtenstein	Vaduz
Lithuania	Vilnius
Luxembourg	Luxembourg
Macedonia	Skopje
Madagascar	Antananarivo
Malawi	Lilongwe
Malaysia	Kuala Lumpur
Maldives	Male
Mali	Bamako
Malta	Valletta
Marshall Islands	Majuro
Mauritania	Nouakchott
Mauritius	Port Louis
Mexico	Mexico City
Micronesia, Federated States of	Palikir
Moldova	Chisinau
Monaco	Monaco
Mongolia	Ulaanbaatar
Montenegro	Podgorica
Morocco	Rabat
Mozambique	Maputo
Myanmar (Burma)	Rangoon (Yangon); Naypyidaw or Nay Pyi Taw (administrative)
Namibia	Windhoek
Nauru	no official capital; government offices in Yaren District
Nepal	Kathmandu
Netherlands	Amsterdam; The Hague (seat of government)
New Zealand	Wellington
Nicaragua	Managua
Niger	Niamey
Nigeria	Abuja
Norway	Oslo
Oman	Muscat
Pakistan	Islamabad
Palau	Melekeok
Panama	Panama City
Papua New Guinea	Port Moresby
Paraguay	Asuncion
Peru	Lima
Philippines	Manila
Poland	Warsaw
Portugal	Lisbon
Qatar	Doha
Romania	Bucharest
Russia	Moscow
Rwanda	Kigali
Saint Kitts and Nevis	Basseterre
Saint Lucia	Castries
Saint Vincent and the Grenadines	Kingstown
Samoa	Apia
San Marino	San Marino
Sao Tome and Principe	Sao Tome
Saudi Arabia	Riyadh
Senegal	Dakar
Serbia	Belgrade
Seychelles	Victoria
Sierra Leone	Freetown
Singapore	Singapore
Slovakia	Bratislava
Slovenia	Ljubljana
Solomon Islands	Honiara
Somalia	Mogadishu
South Africa	Pretoria (administrative); Cape Town (legislative); Bloemfontein (judiciary)
South Sudan	Juba
Spain	Madrid
Sri Lanka	Colombo; Sri Jayewardenepura Kotte (legislative)
Sudan	Khartoum
Suriname	Paramaribo
Swaziland	Mbabane
Sweden	Stockholm
Switzerland	Bern
Syria	Damascus
Taiwan	Taipei
Tajikistan	Dushanbe
Tanzania	Dar es Salaam; Dodoma (legislative)
Thailand	Bangkok
Togo	Lome
Tonga	Nuku'alofa
Trinidad and Tobago	Port-of-Spain
Tunisia	Tunis
Turkey	Ankara
Turkmenistan	Ashgabat
Tuvalu	Vaiaku village, Funafuti province
Uganda	Kampala
Ukraine	Kyiv
United Arab Emirates	Abu Dhabi
United Kingdom	London
United States of America	Washington D.C.
Uruguay	Montevideo
Uzbekistan	Tashkent
Vanuatu	Port-Vila
Vatican City (Holy See)	Vatican City
Venezuela	Caracas
Vietnam	Hanoi
Yemen	Sanaa
Zambia	Lusaka
Zimbabwe	Harare
